gba-input v1
60 3f7
64 3ff
150 3f7
154 3ff
240 3f7
244 3ff
330 3f7
334 3ff
420 3f7
424 3ff
510 3f7
514 3ff
700 3fe
703 3ff
745 3f7
748 3ff
790 3fe
793 3ff
835 3f7
838 3ff
880 3fe
883 3ff
925 3f7
928 3ff
970 3fe
973 3ff
1015 3f7
1018 3ff
1060 3fe
1063 3ff
1105 3f7
1108 3ff
1150 3fe
1153 3ff
1195 3f7
1198 3ff
1200 3ef
1202 3ff
1204 3ef
1206 3ff
1208 3ef
1210 3ff
1212 3ef
1214 3ff
1216 3ef
1218 3ff
1220 3ef
1222 3ff
1224 3ef
1226 3ff
1228 3ef
1230 3ff
1232 3ef
1234 3ff
1236 3ef
1238 3ff
1240 3ef
1240 3fe
1242 3ff
1243 3ff
1244 3ef
1246 3ff
1248 3ef
1250 3ff
1252 3ef
1254 3ff
1256 3ef
1258 3ff
1260 3ef
1262 3ff
1264 3ef
1266 3ff
1268 3ef
1270 3ff
1272 3ef
1274 3ff
1276 3ef
1278 3ff
1280 3ef
1282 3ff
1284 3ef
1285 3f7
1286 3ff
1288 3ef
1288 3ff
1290 3ff
1292 3ef
1294 3ff
1296 3ef
1298 3ff
1300 3ef
1302 3ff
1304 3ef
1306 3ff
1308 3ef
1310 3ff
1312 3ef
1314 3ff
1316 3ef
1318 3ff
1320 3ef
1322 3ff
1324 3ef
1326 3ff
1328 3ef
1330 3fe
1330 3ff
1332 3ef
1333 3ff
1334 3ff
1336 3ef
1338 3ff
1340 3ef
1342 3ff
1344 3ef
1346 3ff
1348 3ef
1350 3ff
1352 3ef
1354 3ff
1356 3ef
1358 3ff
1360 3ef
1362 3ff
1364 3ef
1366 3ff
1368 3ef
1370 3ff
1372 3ef
1374 3ff
1375 3f7
1376 3ef
1378 3ff
1378 3ff
1380 3ef
1382 3ff
1384 3ef
1386 3ff
1388 3ef
1390 3ff
1392 3ef
1394 3ff
1396 3ef
1398 3ff
1400 3ef
1402 3ff
1404 3ef
1406 3ff
1408 3ef
1410 3ff
1412 3ef
1414 3ff
1416 3ef
1418 3ff
1420 3ef
1420 3fe
1422 3ff
1423 3ff
1424 3ef
1426 3ff
1428 3ef
1430 3ff
1432 3ef
1434 3ff
1436 3ef
1438 3ff
1440 37f
1442 3ff
1444 37f
1446 3ff
1448 37f
1450 3ff
1452 37f
1454 3ff
1456 37f
1458 3ff
1460 37f
1462 3ff
1464 37f
1465 3f7
1466 3ff
1468 37f
1468 3ff
1470 3ff
1472 37f
1474 3ff
1476 37f
1478 3ff
1480 37f
1482 3ff
1484 37f
1486 3ff
1488 37f
1490 3ff
1492 37f
1494 3ff
1496 37f
1498 3ff
1500 37f
1502 3ff
1504 37f
1506 3ff
1508 37f
1510 3fe
1510 3ff
1512 37f
1513 3ff
1514 3ff
1516 37f
1518 3ff
1520 37f
1522 3ff
1524 37f
1526 3ff
1528 37f
1530 3ff
1532 37f
1534 3ff
1536 37f
1538 3ff
1540 37f
1542 3ff
1544 37f
1546 3ff
1548 37f
1550 3ff
1552 37f
1554 3ff
1555 3f7
1556 37f
1558 3ff
1558 3ff
1560 37f
1562 3ff
1564 37f
1566 3ff
1568 37f
1570 3ff
1572 37f
1574 3ff
1576 37f
1578 3ff
1580 37f
1582 3ff
1584 37f
1586 3ff
1588 37f
1590 3ff
1592 37f
1594 3ff
1596 37f
1598 3ff
1600 37f
1600 3fe
1602 3ff
1603 3ff
1604 37f
1606 3ff
1608 37f
1610 3ff
1612 37f
1614 3ff
1616 37f
1618 3ff
1620 37f
1622 3ff
1624 37f
1626 3ff
1628 37f
1630 3ff
1632 37f
1634 3ff
1636 37f
1638 3ff
1640 37f
1642 3ff
1644 37f
1645 3f7
1646 3ff
1648 37f
1648 3ff
1650 3ff
1652 37f
1654 3ff
1656 37f
1658 3ff
1660 37f
1662 3ff
1664 37f
1666 3ff
1668 37f
1670 3ff
1672 37f
1674 3ff
1676 37f
1678 3ff
1690 3fe
1693 3ff
1700 3fe
1703 3ff
1735 3f7
1738 3ff
1780 3fe
1783 3ff
1825 3f7
1828 3ff
1870 3fe
1873 3ff
1900 3ef
1902 3ff
1904 3ef
1906 3ff
1908 3ef
1910 3ff
1912 3ef
1914 3ff
1915 3f7
1916 3ef
1918 3ff
1918 3ff
1920 3ef
1922 3ff
1924 3ef
1926 3ff
1928 3ef
1930 3ff
1932 3ef
1934 3ff
1936 3ef
